Rank,Country,TICt,meanGDP,propGDP
64,El Salvador,$475,"$16,994",0.0280
65,Dominican Republic,$873,"$32,263",0.0271
66,Ecuador,$935,"$35,335",0.0265
67,Costa Rica,$557,"$21,335",0.0261
68,Uruguay,$509,"$20,428",0.0249
69,Mongolia,$65,"$2,777",0.0233
70,Kazakhstan,"$1,344","$63,079",0.0213
71,Hungary,"$1,979","$99,078",0.0200
72,Peru,"$1,580","$82,808",0.0191
73,Greece,"$4,342","$229,094",0.0190
74,Korea Republic of,"$14,349","$759,097",0.0189
75,South Africa,"$3,922","$210,088",0.0187
76,Suriname,$37,"$2,025",0.0180
77,Croatia,$756,"$43,204",0.0175
78,Chile,"$2,095","$120,502",0.0174
79,Colombia,"$2,476","$150,304",0.0165
80,Lithuania,$392,"$25,817",0.0152
81,Mexico,"$11,277","$812,403",0.0139
82,Venezuela,"$2,167","$173,339",0.0125
83,Lebanon,$277,"$23,002",0.0120
84,Australia,"$7,815","$653,024",0.0120
85,Latvia,$187,"$17,470",0.0107
86,Czech Republic,"$1,336","$129,245",0.0103
87,Panama,$161,"$16,229",0.0099
88,Slovakia,$573,"$59,518",0.0096
89,Jordan,$116,"$13,919",0.0084
90,Poland,"$2,449","$306,063",0.0080
91,Estonia,$102,"$13,669",0.0075
92,Portugal,"$1,365","$182,864",0.0075
93,Barbados,$20,"$2,998",0.0068
94,New Zealand,$640,"$96,355",0.0066
95,Cyprus,$108,"$16,483",0.0066
96,Russian Federation,"$5,084","$786,992",0.0065
97,Canada,"$6,694","$1,070,980",0.0063
98,France,"$12,532","$2,039,069",0.0061
99,USA,"$70,381","$12,156,820",0.0058
100,Denmark,"$1,417","$244,969",0.0058
101,Slovenia,$202,"$35,224",0.0057
102,Spain,"$5,576","$1,066,190",0.0052
103,Japan,"$23,490","$4,499,994",0.0052
104,Austria,"$1,304","$293,944",0.0044
105,Belgium,"$1,351","$360,905",0.0037
106,Israel,$518,"$144,913",0.0036
107,Netherlands,"$1,981","$613,761",0.0032
108,Finland,$601,"$189,615",0.0032
109,Saudi Arabia,$804,"$293,502",0.0027
110,Switzerland,$924,"$378,837",0.0024
111,Malta,$14,"$5,947",0.0024
112,Germany,"$6,481","$2,683,917",0.0024
113,Malaysia,$333,"$145,539",0.0023
114,Equatorial Guinea,$16,"$7,436",0.0022
115,United Kingdom,"$4,005","$2,100,502",0.0019
116,Trinidad and Tobago,$29,"$15,415",0.0019
117,Luxembourg,$65,"$36,255",0.0018
118,Sweden,$547,"$352,649",0.0016
119,Ireland,$278,"$184,655",0.0015
120,Norway,$419,"$288,227",0.0015
121,Italy,"$1,447","$1,690,781",0.0009
122,Iceland,$5,"$13,206",0.0004
123,Qatar,$5,"$50,556",0.0001
124,Singapore,$1,"$125,415",0.00001
